,Year,Trade (% of GDP),Annual Change (% of GDP),FDI (in Billions of USD),FDI (% of GDP),Exports (in Billions of USD),Exports (% of GDP),Imports (in Billions of USD),Imports (% of GDP),Mean World Tariff Rate,Tourism Spending (USD),Tourism Spending (% of Exports),Tourism Spneding (USD in Billions),Merchandise Trade (% of GDP),Services (% of GDP),Digital Trade (USD in Millions),Active RTAs,Tons of Goods in Millions,Monthly Data Traffic (Exabytes Per Month),International Bandwidth (Tbit/s),Total International Migrants (in Millions)
0,1948-01-01,,,,,,,,,,,,,,,,0.0,,,,
1,1949-01-01,,,,,,,,,,,,,,,,0.0,,,,
2,1950-01-01,,,,,,,,,,,,,,,,0.0,,,,
3,1951-01-01,,,,,,,,,,,,,,,,0.0,,,,
4,1952-01-01,,,,,,,,,,,,,,,,0.0,,,,
5,1953-01-01,,,,,,,,,,,,,,,,0.0,,,,
6,1954-01-01,,,,,,,,,,,,,,,,0.0,,,,
7,1955-01-01,,,,,,,,,,,,,,,,0.0,,,,
8,1956-01-01,,,,,,,,,,,,,,,,0.0,,,,
9,1957-01-01,,,,,,,,,,,,,,,,0.0,,,,
10,1958-01-01,,,,,,,,,,,,,,,,1.0,,,,
11,1959-01-01,,,,,,,,,,,,,,,,1.0,,,,
12,1960-01-01,,,,,,,,,,,,,16.7435979007865,,,2.0,,,,
13,1961-01-01,,,,,,,,,,,,,16.5563415390077,,,3.0,,,,
14,1962-01-01,,,,,,,,,,,,,16.0384843166459,,,3.0,,,,
15,1963-01-01,,,,,,,,,,,,,16.2773737858747,,,3.0,,,,
16,1964-01-01,,,,,,,,,,,,,16.63805951178,,,3.0,,,,
17,1965-01-01,,,,,,,,,,,,,16.6152159231737,,,3.0,,,,
18,1966-01-01,,,,,,,,,,,,,17.054225815417,,,3.0,,,,
19,1967-01-01,,,,,,,,,,,,,16.8939476611679,,,3.0,,,,
20,1968-01-01,,,,,,,,,,,,,17.4330397971232,,,3.0,,,,
21,1969-01-01,,,,,,,,,,,,,17.9382678118832,,,3.0,,,,
22,1970-01-01,24.9722,,12.357585832742,0.4802,383.86145384764,12.807,383.22019024109,12.7856,,,,,19.3325352359052,24.9721744880011,,3.0,,,,80.0
23,1971-01-01,25.1262,0.15,14.02085507598,0.4706,430.74993736801,13.0117,427.04215758695,12.8997,,,,,19.5626888322506,25.1262349723668,,4.0,,,,
24,1972-01-01,25.3519,0.23,14.76870255293,0.4223,510.93186627608,13.3863,503.25274735084,13.1851,,,,,19.9879086394952,25.3519221093446,,4.0,,,,
25,1973-01-01,28.3874,3.04,20.097490761385,0.4799,699.85835204961,15.0267,684.57930503313,14.6986,,,,,22.6569138438787,28.3874234364638,,9.0,,,,
26,1974-01-01,33.2341,4.85,24.129828712276,0.4966,970.70236624924,18.0871,975.76009796406,18.1814,,,,,28.8958678475745,33.2340573348396,,9.0,,,,
27,1975-01-01,31.4351,-1.8,25.843473882758,0.4865,1030.5158019456,17.2385,1030.7550472863,17.2426,,,,,27.0227741508801,31.4350804614326,,9.0,,,,
28,1976-01-01,32.1253,0.69,20.5770110114,0.3425,1150.1328437179,17.6978,1161.8678456974,17.8783,,,,,28.2637411191913,32.1253264846153,,10.0,,,,
29,1977-01-01,32.3994,0.27,27.094427076544,0.4098,1305.6323587663,17.7644,1331.5637925381,18.1172,,,,,28.4689223494561,32.3994052304831,,12.0,,,,
30,1978-01-01,32.0021,-0.4,33.742874310554,0.431,1519.2997132055,17.4823,1538.5025056327,17.7033,,,,,27.8893311169844,32.0020668505325,,12.0,,,,
31,1979-01-01,34.2501,2.25,41.951228839756,0.4526,1909.0640165966,18.9885,1943.7767636227,19.3338,,,,,30.5930161625281,34.250070555549,,12.0,,,,
32,1980-01-01,37.1184,2.87,53.413886835972,0.5151,2310.280958818,20.378,2362.1087224029,20.8352,,,,,33.8676321378883,37.1183603244203,,12.0,,,,
33,1981-01-01,37.3936,0.28,69.598655387668,0.6378,2307.0639580516,19.6707,2369.2996261638,20.2014,,,,,32.5569577270945,37.3936229259157,,14.0,,,,
34,1982-01-01,35.9036,-1.49,64.847077910456,0.6019,2166.6657911152,18.6618,2253.5318567436,19.41,,,,,30.6290332155543,35.9036248754454,,14.0,,,,
35,1983-01-01,35.2362,-0.67,53.073373424564,0.4775,2131.0923531027,17.9984,2199.7225024597,18.578,,,,,29.153945062456,35.2362042795863,,16.0,,,,
36,1984-01-01,36.6656,1.43,59.791128735994,0.5088,2255.7328056255,18.322,2318.5090883754,18.8319,,,,,30.0306577855245,36.6655920516421,,17.0,,,,
37,1985-01-01,36.6842,0.02,44.960850724531,0.3633,2290.5228010191,17.7599,2355.9487872492,18.2672,,,,,28.93935755316,36.6841770354498,,18.0,,,,
38,1986-01-01,34.265,-2.42,81.76878897409,0.5678,2557.3137489445,16.7665,2618.4801888494,17.1675,,,,,26.815341774487,34.2650337591065,,18.0,,,,
39,1987-01-01,34.9708,0.71,139.5190975461,0.847,3026.8488564782,17.4228,3068.8382591547,17.6645,,,,,27.8258487222253,34.9707642466897,,20.0,,,,
40,1988-01-01,36.3699,1.4,165.89548945905,0.8997,3471.3297254818,17.899,3524.0290451265,18.1707,4.79,,,,28.6824944052134,36.3699186397237,,21.0,,,,
41,1989-01-01,37.0478,0.68,200.1568908607,1.0338,3760.5870763913,18.5555,3834.20684931,18.9188,6.23,,,,29.692967263514,37.04781513235,,22.0,,,,
42,1990-01-01,37.5923,0.54,239.41522950453,1.0892,4317.4118564819,18.8849,4383.4573058858,19.1738,6.82,,,,29.9175961273164,37.5923244905451,,22.0,,,,153.0
43,1991-01-01,37.5487,-0.04,174.93810419571,0.766,4471.5523569335,18.7609,4461.0411654384,18.7168,6.14,,,,29.4728070218961,37.5487114012909,,25.0,,,,
