
Year of entry into force,Goods notifications,Services notifications,Accessions to an RTA,Cumulative Notifications of RTAs in force,Cumulative Number of RTAs in force
1948,0,0,0,0,0
1949,0,0,0,0,0
1950,0,0,0,0,0
1951,0,0,0,0,0
1952,0,0,0,0,0
1953,0,0,0,0,0
1954,0,0,0,0,0
1955,0,0,0,0,0
1956,0,0,0,0,0
1957,0,0,0,0,0
1958,1,1,0,2,1
1959,0,0,0,2,1
1960,1,0,0,3,2
1961,1,0,0,4,3
1962,0,0,0,4,3
1963,0,0,0,4,3
1964,0,0,0,4,3
1965,0,0,0,4,3
1966,0,0,0,4,3
1967,0,0,0,4,3
1968,0,0,0,4,3
1969,0,0,0,4,3
1970,0,0,1,5,3
1971,1,0,0,6,4
1972,0,0,0,6,4
1973,5,0,1,12,9
1974,0,0,0,12,9
1975,0,0,0,12,9
1976,1,0,0,13,10
1977,2,0,0,15,12
1978,0,0,0,15,12
1979,0,0,0,15,12
1980,0,0,0,15,12
1981,2,0,1,18,14
1982,0,0,0,18,14
1983,2,0,0,20,16
1984,1,0,0,21,17
1985,1,0,0,22,18
1986,0,0,1,23,18
1987,2,0,0,25,20
1988,1,0,0,26,21
1989,1,1,0,28,22
1990,0,0,0,28,22
1991,3,0,0,31,25
1992,1,0,0,32,26
1993,6,0,0,38,32
1994,4,1,0,43,37
1995,9,1,2,55,45
1996,8,0,0,63,53
1997,6,1,0,70,59
1998,6,1,0,77,66
1999,6,1,2,86,71
2000,11,1,0,98,82
2001,8,4,0,110,90
2002,9,5,1,125,99
2003,15,6,0,146,113
2004,11,7,2,166,123
2005,13,8,0,187,136
2006,17,10,0,214,153
2007,11,3,3,231,164
2008,16,10,0,257,180
2009,21,17,1,296,200
2010,16,8,0,320,212
2011,10,8,1,339,222
2012,17,10,0,366,238
2013,12,11,3,392,250
2014,13,11,0,416,263
2015,11,11,5,443,274
2016,10,5,0,458,284
2017,9,5,2,474,293
2018,3,5,1,483,297
2019,8,6,1,498,305
2020,8,9,1,516,313
2021,42,22,2,582,355
2022,3,4,0,589,358
2023,3,3,0,595,361
