YEAR,"2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_"
"World",1841770.308237507,2103537.502307729,2183535.823396843,2340530.101864698,2554426.057369501,2480671.073601436,2572215.749620619,2793475.837969809,3096691.200555873,3245887.939306815,3294911.606389926,3817049.16429182,3941925.207958654
"  Africa",16757.1102164865,18178.0544045424,20170.4196185224,20457.0225442398,21659.1757588105,22871.5128878253,22428.9742201947,24223.1196424687,26999.8036538221,27495.6861335592,26061.4754903088,29753.3323308166,32066.1107899429
"    Northern Africa",7172.6907525015,6684.5460529328,7170.3012616084,6894.1245610832,7391.781373631,6882.583693558,6995.718194062,6689.012360075,7334.729763358,8016.153727774,8642.158720248601,10100.2377200648,11463.0202539844
"    Sub-Saharan Africa",9584.419463984999,11493.5083516096,13000.118356914,13562.8979831566,14267.3943851794,15988.9291942673,15433.2560261327,17534.1072823938,19665.0738904641,19479.5324057852,17419.3167700602,19653.0946107518,20603.0905359585
"      Eastern Africa",2577.1460678243,3022.6817621137,4294.2912077102,3942.4452231073,4221.5672110945,3894.6630794078,3688.8829457104,4031.0987203087,4650.8584761432,4451.5989491845,3798.5193343624,4903.004165614,"-"
"      Middle Africa",1208.3240874154,1569.9438209349,1162.4476395801,1245.193216613,1163.4074413498,1005.6916883026,839.7330458313001,1224.2903537216,1417.0649887781,1035.8612733145,802.2767568665,"-","-"
"      Southern Africa",3708.896993524,4288.426835948,4297.240816488,4377.1213955712,4567.822473082,4548.604430411,4581.6101266,5189.80371565,5568.973783684,4970.42904016,4584.590516304,5688.026804112,6098.682066644
"      Western Africa","-","-","-","-","-",6539.9699961458,6323.029907991,7088.9144927134,8028.1766418589,9021.643143126101,8233.9301625273,8363.4390313,"-"
"  Americas",416492.2177184963,469329.2649420881,499521.0780006422,518720.7994659404,549756.2283757015,544281.4899006127,561284.0192753038,612522.1678397041,631737.4995711962,666886.4580476537,673645.1924362088,760064.1248986748,799660.1786287165
"    Northern America",374561.81323242,419893.071854,444014.15274941,461126.05650191,488691.38436,486833.2808,504340.6260521547,551066.6989699805,568776.1372063174,604290.7522151811,617586.2234918941,697455.7546672674,727101.3352816085
"    Latin America and the Caribbean",41930.4044860761,49436.1930880882,55506.9252512324,57594.7429640305,61064.8440157017,57448.2091006129,56943.3932231492,61455.4688697239,62961.3623648791,62595.7058324726,56058.9689443148,62608.3702314075,72558.8433471084
"      Caribbean",8091.4700278077,8964.8224082206,10461.9329321391,11911.9938732632,12424.8436015587,11708.4761761288,11615.6669284252,12189.0961253638,13485.4537172391,12162.1937423026,11029.9799261733,11347.0410179996,12371.8639059364
"      Central America",6987.86858283,8257.292666560001,8446.383042560001,9542.284782961,11023.503524591,11429.253283844,11296.670301196,13004.381966724,13266.995283184,14003.479468195,13715.550536577,15521.708845358,17230.4348973431
"      South America",26851.0658754384,32214.0780133076,36598.6092765333,36140.4643078063,37616.496889552,34310.47964064,34031.055993528,36261.990777636,36208.913364456,36430.032621975,31313.4384815646,35739.6203680499,42956.5445438289
"  Asia",377295.926227821,441800.7932904915,471120.6277104825,512369.2777575838,575143.4481110495,580058.6571950198,607010.1371858154,651321.7054164453,741130.8573683805,797625.4890677827,829543.9074426402,970562.5875959738,1068034.787704243
"    Central Asia",1162.9195570123,1342.0631831146,1618.7512475944,1743.6719537658,1687.364767306,1467.5117939958,1376.3549579575,1290.5593013165,1333.8813422352,1530.0834860792,1506.7899323968,1596.7981574636,3632.84804797
"    Eastern Asia",171646.9236439531,203654.5527488072,202080.9166185598,218565.6051761467,263510.678063167,260234.1201605,274841.00280244,295759.5237047599,337927.2390232801,364314.13897461,373737.98594122,436235.7272859601,450075.3193071469
"    South-eastern Asia",70876.27924599301,84983.3437354959,97379.4132970404,108112.2244120667,117192.321162912,124674.038659682,130292.225332368,142899.977493731,168499.2282745391,180039.0007931049,189121.8936585409,218153.310147092,233100.95849096
"    Southern Asia",86603.57396229971,98748.1991909327,107892.482167525,114381.728137632,117346.1802423,119009.6684357032,122296.8988608298,128375.9741733752,139708.02750255,154848.5731095507,161403.0220146094,192759.0197242299,241554.1471694546
"    Western Asia",47006.2298185625,53072.634432141,62149.064379763,69566.0480779722,75406.90387536401,74673.318145139,78203.6552322199,82995.670743262,93662.481225777,96893.6927044386,103774.2158958733,121817.7322812287,139671.5146887121
